source,target,constraint_type,source_index,target_index,edge_exists_in_synthetic_ground_truth,reverse_edge_exists_in_synthetic_ground_truth,why_this_is_a_conflict,recommended_fix,status_after_fix
board_diversity,roa_eat,required,15.0,21.0,False,False,Required constraint conflicts because the synthetic ground truth does not contain this directed edge.,"Add this required edge to the synthetic DAG if it is intended as universal, otherwise exclude it from synthetic required-edge evaluation.",resolved
emission_reduction_policy_score,roa_eat,required,0.0,21.0,False,False,Required constraint conflicts because the synthetic ground truth does not contain this directed edge.,"Add this required edge to the synthetic DAG if it is intended as universal, otherwise exclude it from synthetic required-edge evaluation.",resolved
emission_reduction_policy_score,roe_eat,required,0.0,26.0,False,False,Required constraint conflicts because the synthetic ground truth does not contain this directed edge.,"Add this required edge to the synthetic DAG if it is intended as universal, otherwise exclude it from synthetic required-edge evaluation.",resolved
scope_1_emissions_tco2e,debt_to_equity_ratio,required,2.0,22.0,False,False,Required constraint conflicts because the synthetic ground truth does not contain this directed edge.,"Add this required edge to the synthetic DAG if it is intended as universal, otherwise exclude it from synthetic required-edge evaluation.",resolved
board_diversity,tobins_q,required,15.0,23.0,False,False,Required constraint conflicts because the synthetic ground truth does not contain this directed edge.,"Add this required edge to the synthetic DAG if it is intended as universal, otherwise exclude it from synthetic required-edge evaluation.",resolved
customer_satisfaction_score,roa_eat,required,13.0,21.0,False,False,Required constraint conflicts because the synthetic ground truth does not contain this directed edge.,"Add this required edge to the synthetic DAG if it is intended as universal, otherwise exclude it from synthetic required-edge evaluation.",resolved
environmental_fines,debt_to_equity_ratio,required,6.0,22.0,False,False,Required constraint conflicts because the synthetic ground truth does not contain this directed edge.,"Add this required edge to the synthetic DAG if it is intended as universal, otherwise exclude it from synthetic required-edge evaluation.",resolved
iso_14001_exists,roa_eat,required,7.0,21.0,False,False,Required constraint conflicts because the synthetic ground truth does not contain this directed edge.,"Add this required edge to the synthetic DAG if it is intended as universal, otherwise exclude it from synthetic required-edge evaluation.",resolved
iso_14001_exists,tobins_q,required,7.0,23.0,False,False,Required constraint conflicts because the synthetic ground truth does not contain this directed edge.,"Add this required edge to the synthetic DAG if it is intended as universal, otherwise exclude it from synthetic required-edge evaluation.",resolved
scope_2_emissions_tco2e,tobins_q,required,3.0,23.0,False,False,Required constraint conflicts because the synthetic ground truth does not contain this directed edge.,"Add this required edge to the synthetic DAG if it is intended as universal, otherwise exclude it from synthetic required-edge evaluation.",resolved
board_diversity,roa_eat,required,2.0,16.0,False,False,Required constraint conflicts because the synthetic ground truth does not contain this directed edge.,"Add this required edge to the synthetic DAG if it is intended as universal, otherwise exclude it from synthetic required-edge evaluation.",resolved
emission_reduction_policy_score,roa_eat,required,9.0,16.0,False,False,Required constraint conflicts because the synthetic ground truth does not contain this directed edge.,"Add this required edge to the synthetic DAG if it is intended as universal, otherwise exclude it from synthetic required-edge evaluation.",resolved
emission_reduction_policy_score,roe_eat,required,9.0,17.0,False,False,Required constraint conflicts because the synthetic ground truth does not contain this directed edge.,"Add this required edge to the synthetic DAG if it is intended as universal, otherwise exclude it from synthetic required-edge evaluation.",resolved
scope_1_emissions_tco2e,debt_to_equity_ratio,required,18.0,7.0,False,False,Required constraint conflicts because the synthetic ground truth does not contain this directed edge.,"Add this required edge to the synthetic DAG if it is intended as universal, otherwise exclude it from synthetic required-edge evaluation.",resolved
board_diversity,tobins_q,required,2.0,21.0,False,False,Required constraint conflicts because the synthetic ground truth does not contain this directed edge.,"Add this required edge to the synthetic DAG if it is intended as universal, otherwise exclude it from synthetic required-edge evaluation.",resolved
customer_satisfaction_score,roa_eat,required,6.0,16.0,False,False,Required constraint conflicts because the synthetic ground truth does not contain this directed edge.,"Add this required edge to the synthetic DAG if it is intended as universal, otherwise exclude it from synthetic required-edge evaluation.",resolved
environmental_fines,debt_to_equity_ratio,required,10.0,7.0,False,False,Required constraint conflicts because the synthetic ground truth does not contain this directed edge.,"Add this required edge to the synthetic DAG if it is intended as universal, otherwise exclude it from synthetic required-edge evaluation.",resolved
iso_14001_exists,roa_eat,required,13.0,16.0,False,False,Required constraint conflicts because the synthetic ground truth does not contain this directed edge.,"Add this required edge to the synthetic DAG if it is intended as universal, otherwise exclude it from synthetic required-edge evaluation.",resolved
iso_14001_exists,tobins_q,required,13.0,21.0,False,False,Required constraint conflicts because the synthetic ground truth does not contain this directed edge.,"Add this required edge to the synthetic DAG if it is intended as universal, otherwise exclude it from synthetic required-edge evaluation.",resolved
scope_2_emissions_tco2e,tobins_q,required,19.0,21.0,False,False,Required constraint conflicts because the synthetic ground truth does not contain this directed edge.,"Add this required edge to the synthetic DAG if it is intended as universal, otherwise exclude it from synthetic required-edge evaluation.",resolved
