algorithm,mode,dataset,seed,error,traceback
deci_postproc,constrained,real,45,DECI exceeded 180s timeout,"Traceback (most recent call last):
  File ""C:\Users\User\Desktop\go\run_all.py"", line 1124, in train_deci_guarded
    completed = subprocess.run(
  File ""C:\Program Files\Python310\lib\subprocess.py"", line 505, in run
    stdout, stderr = process.communicate(input, timeout=timeout)
  File ""C:\Program Files\Python310\lib\subprocess.py"", line 1154, in communicate
    stdout, stderr = self._communicate(input, endtime, timeout)
  File ""C:\Program Files\Python310\lib\subprocess.py"", line 1534, in _communicate
    raise TimeoutExpired(self.args, orig_timeout)
subprocess.TimeoutExpired: Command '['C:\\Users\\User\\Desktop\\go\\.venv\\Scripts\\python.exe', 'C:\\Users\\User\\Desktop\\go\\run_all.py', '--deci-worker', 'C:\\Users\\User\\Desktop\\go\\outputs\\experiments\\deci_work\\deci_real_constrained_seed45\\input.npz', 'C:\\Users\\User\\Desktop\\go\\outputs\\experiments\\deci_work\\deci_real_constrained_seed45\\result.json']' timed out after 180 seconds

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File ""C:\Users\User\Desktop\go\run_all.py"", line 1816, in run_one
    prediction = run_algorithm(
  File ""C:\Users\User\Desktop\go\run_all.py"", line 1763, in run_algorithm
    return run_deci_guarded(data, columns, mode, dataset_name, seed, adapter)
  File ""C:\Users\User\Desktop\go\run_all.py"", line 985, in run_deci_guarded
    training = train_deci_guarded(data, columns, mode, dataset_name, seed, adapter)
  File ""C:\Users\User\Desktop\go\run_all.py"", line 1142, in train_deci_guarded
    raise TimeoutError(
TimeoutError: DECI exceeded 180s timeout
"
deci_postproc,constrained,real,46,DECI skipped because total runtime exceeded 30 minutes,"Traceback (most recent call last):
  File ""C:\Users\User\Desktop\go\run_all.py"", line 1816, in run_one
    prediction = run_algorithm(
  File ""C:\Users\User\Desktop\go\run_all.py"", line 1762, in run_algorithm
    raise TimeoutError(""DECI skipped because total runtime exceeded 30 minutes"")
TimeoutError: DECI skipped because total runtime exceeded 30 minutes
"
