algorithm,mode,dataset,successful_runs,runtime_seconds_mean,runtime_seconds_std,edge_count_predicted_mean,edge_count_predicted_std,edge_count_true_mean,edge_count_true_std,shd_mean,shd_std,f1_directed_mean,f1_directed_std,f1_skeleton_mean,f1_skeleton_std,precision_mean,precision_std,recall_mean,recall_std,literature_agreement_count_mean,literature_agreement_count_std,literature_violation_count_mean,literature_violation_count_std,literature_alignment_score_mean,literature_alignment_score_std
deci,constrained,real,5,5.19568,0.3481938353848328,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deci,constrained,synthetic_n2000,5,11.344,0.1111682733517075,11.0,0.0,65.0,0.0,74.0,0.0,0.0263157894736842,0.0,0.0263157894736842,0.0,0.0909090909090909,0.0,0.015384615384615299,0.0,,0.0,,0.0,,0.0
deci,unconstrained,real,5,4.86994,0.22310716707448033,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deci,unconstrained,synthetic_n2000,5,11.36572,0.2411773040731647,0.0,0.0,65.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0
lingam,constrained,real,5,0.28765999999999997,0.006287527335924674,24.2,4.764451699828638,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.4,0.5477225575051661,0.0,0.0,0.3999999996,0.5477225569574435
lingam,constrained,synthetic_n2000,5,4.01492,0.0600517027235697,144.8,10.158740079360234,65.0,0.0,143.8,13.754999091239517,0.3158361568212762,0.03392063186127272,0.5327940832455573,0.026219235415345397,0.2295141299579372,0.02984432396790678,0.5076923076923077,0.0307692307692308,,0.0,,0.0,,0.0
lingam,unconstrained,real,5,0.28182,0.008308850702714548,24.4,4.6690470119715,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.4,0.5477225575051661,0.2,0.4472135954999579,0.3999999996,0.5477225569574435
lingam,unconstrained,synthetic_n2000,5,4.1803,0.5789918824992277,148.4,10.549881515922348,65.0,0.0,147.4,14.152738250953416,0.31053609528331105,0.03343701307980288,0.5556216611908928,0.030115512459309008,0.2239572932378564,0.02899594838244954,0.5076923076923077,0.0307692307692308,,0.0,,0.0,,0.0
notears_postproc,constrained,real,5,8.39382,3.162972033863088,17.0,2.345207879911715,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
notears_postproc,constrained,synthetic_n2000,5,56.89994,11.922255225124147,39.4,2.302172886644268,65.0,0.0,74.0,0.7071067811865476,0.2908785444308003,0.018720036503885387,0.5052501378943413,0.04120011508567238,0.38535273056692887,0.012750800318600555,0.23384615384615381,0.020059084323700436,,0.0,,0.0,,0.0
notears_postproc,unconstrained,real,5,9.473400000000002,3.467315806210908,17.2,2.16794833886788,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.2,0.4472135954999579,0.0,0.0
notears_postproc,unconstrained,synthetic_n2000,5,73.41008000000001,16.93866078448943,29.4,2.302172886644268,65.0,0.0,66.0,0.7071067811865476,0.3004742028959865,0.020472116519330567,0.5587406607208927,0.04466194791481965,0.4826748602610671,0.012693275476057933,0.21846153846153843,0.020059084323700432,,0.0,,0.0,,0.0
pc,constrained,real,3,6.923500000000001,11.898669433176131,16.666666666666668,16.072751268321593,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.3333333333333333,0.5773502691896258,0.0,0.0,0.333333333,0.5773502686122756
pc,constrained,synthetic_n2000,4,1.211125,0.06137292426904012,58.0,2.160246899469287,65.0,0.0,73.5,4.509249752822896,0.402167453448728,0.040686500878073135,0.784467086283766,0.020307715037298807,0.42635044188229454,0.039386920541240586,0.38076923076923075,0.04236592728681617,,0.0,,0.0,,0.0
pc,unconstrained,real,3,6.953833333333335,11.939437439148184,16.333333333333332,15.50268793897798,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.3333333333333333,0.5773502691896258,0.0,0.0
pc,unconstrained,synthetic_n2000,4,1.7899500000000002,1.2001320774536999,58.0,2.160246899469287,65.0,0.0,80.5,6.855654600401044,0.3455744820351429,0.05333361266873458,0.784467086283766,0.020307715037298807,0.36668725537077373,0.056963501459889904,0.3269230769230769,0.05083135282461285,,0.0,,0.0,,0.0
